gid,tipo_pavim,local,cod_local,area,distance,angle,geometry,x,y
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,260.0,296.317074835839,POINT Z (687032.3965512578 7190003.246869009 0),687032.3965512578,7190003.246869009
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,280.0,320.46904751996203,POINT Z (687016.3789639198 7190014.760724721 0),687016.3789639198,7190014.760724721
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,300.0,3.365907408532191,POINT Z (687009.2170978568 7190032.057503904 0),687009.2170978568,7190032.057503904
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,320.0,134.15699329031114,POINT Z (687011.2389847878 7190023.305058451 0),687011.2389847878,7190023.305058451
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,480.0,355.1935957282613,POINT Z (687154.9887027773 7189986.260531624 0),687154.9887027773,7189986.260531624
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,500.0,356.4016849160623,POINT Z (687154.1448918392 7190006.228873712 0),687154.1448918392,7190006.228873712
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,520.0,355.2406974440899,POINT Z (687152.823235635 7190026.184591385 0),687152.823235635,7190026.184591385
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,540.0,355.6871881130237,POINT Z (687150.8917183226 7190046.087782422 0),687150.8917183226,7190046.087782422
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,560.0,351.8217209237388,POINT Z (687148.823294072 7190065.969382905 0),687148.823294072,7190065.969382905
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,580.0,2.378302359522022,POINT Z (687148.6552728859 7190085.924827184 0),687148.6552728859,7190085.924827184
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,600.0,280.53665064694667,POINT Z (687134.015449832 7190093.380549955 0),687134.015449832,7190093.380549955
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,700.0,289.3446279753246,POINT Z (687038.794996236 7190123.593047514 0),687038.794996236,7190123.593047514
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,760.0,192.66073865418392,POINT Z (686985.4909689334 7190123.490144315 0),686985.4909689334,7190123.490144315
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,840.0,194.77244860833733,POINT Z (686982.8089051793 7190045.878022238 0),686982.8089051793,7190045.878022238
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1060.0,308.6262659050668,POINT Z (687116.9318024884 7189911.461835859 0),687116.9318024884,7189911.461835859
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1080.0,309.82565839920073,POINT Z (687101.4275051648 7189924.0940686315 0),687101.4275051648,7189924.0940686315
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1100.0,309.82565839920073,POINT Z (687086.0675693573 7189936.903142447 0),687086.0675693573,7189936.903142447
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1120.0,309.82565839920073,POINT Z (687070.70763355 7189949.712216261 0),687070.70763355,7189949.712216261
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1140.0,310.9935922426819,POINT Z (687055.4968932935 7189962.696534599 0),687055.4968932935,7189962.696534599
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1160.0,311.9401842101001,POINT Z (687040.5360286243 7189975.9685617555 0),687040.5360286243,7189975.9685617555
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1180.0,311.9401842101001,POINT Z (687025.6591690042 7189989.33564999 0),687025.6591690042,7189989.33564999
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1200.0,311.42008837866416,POINT Z (687010.64835049 7190002.5519990185 0),687010.64835049,7190002.5519990185
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1220.0,322.397145668069,POINT Z (686997.155235478 7190017.214691417 0),686997.155235478,7190017.214691417
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1240.0,319.18250134192414,POINT Z (686984.9502252459 7190033.058801372 0),686984.9502252459,7190033.058801372
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1260.0,12.752031477733865,POINT Z (686981.7849052789 7190051.266960749 0),686981.7849052789,7190051.266960749
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1280.0,10.25353626185607,POINT Z (686985.7375291722 7190070.867672332 0),686985.7375291722,7190070.867672332
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1300.0,4.252742696756842,POINT Z (686988.0849084309 7190090.721685221 0),686988.0849084309,7190090.721685221
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1320.0,350.2501956031444,POINT Z (686988.087659502 7190110.668829001 0),686988.087659502,7190110.668829001
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1340.0,37.33774388967124,POINT Z (686985.7125619048 7190128.896741796 0),686985.7125619048,7190128.896741796
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1360.0,124.53683283120787,POINT Z (687002.4412112699 7190135.688406839 0),687002.4412112699,7190135.688406839
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1380.0,99.17506064397567,POINT Z (687021.384175091 7190130.240213555 0),687021.384175091,7190130.240213555
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1400.0,111.99319253479233,POINT Z (687040.7313334347 7190125.466945387 0),687040.7313334347,7190125.466945387
