gid,local,area,cod_local,tipo_massa,E,N,geometry,x,y
3,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687635.904,7190805.248,POINT Z (687635.9035530018 7190805.247920627 0),687635.9035530018,7190805.247920627
3,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687650.413,7190818.943,POINT Z (687650.413014191 7190818.942758782 0),687650.413014191,7190818.942758782
3,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687664.622,7190832.992,POINT Z (687664.6219096453 7190832.992297679 0),687664.6219096453,7190832.992297679
3,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687680.767,7190833.584,POINT Z (687680.7670633531 7190833.584482854 0),687680.7670633531,7190833.584482854
3,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687690.383,7190816.078,POINT Z (687690.3831915217 7190816.077668838 0),687690.3831915217,7190816.077668838
3,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687698.986,7190798.025,POINT Z (687698.9855345008 7190798.025097411 0),687698.9855345008,7190798.025097411
3,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687703.968,7190779.628,POINT Z (687703.9682086462 7190779.6278343825 0),687703.9682086462,7190779.6278343825
6,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687283.684,7190073.729,POINT Z (687283.6838240807 7190073.729071263 0),687283.6838240807,7190073.729071263
6,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687301.929,7190068.952,POINT Z (687301.9293241529 7190068.952105269 0),687301.9293241529,7190068.952105269
6,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687321.373,7190071.928,POINT Z (687321.3726530084 7190071.928276083 0),687321.3726530084,7190071.928276083
6,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687340.157,7190073.592,POINT Z (687340.1574840021 7190073.591934409 0),687340.1574840021,7190073.591934409
6,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687351.044,7190063.43,POINT Z (687351.0440222837 7190063.4300044915 0),687351.0440222837,7190063.4300044915
6,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687347.98,7190043.909,POINT Z (687347.979578098 7190043.90888987 0),687347.979578098,7190043.90888987
6,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687329.53,7190037.804,POINT Z (687329.530497255 7190037.804407733 0),687329.530497255,7190037.804407733
6,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687316.294,7190051.557,POINT Z (687316.294496471 7190051.556938166 0),687316.294496471,7190051.556938166
6,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687300.008,7190057.028,POINT Z (687300.0084101434 7190057.027676996 0),687300.0084101434,7190057.027676996
6,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687288.559,7190067.187,POINT Z (687288.559181245 7190067.18716567 0),687288.559181245,7190067.18716567
