gid,local,cod_local,E,N,geometry,x,y
649,Fazenda Canguiri,PFCG,687129.339,7190091.889,POINT Z (687129.3391854656 7190091.888948999 932.5992120394999),687129.3391854656,7190091.888948999
650,Fazenda Canguiri,PFCG,687136.298,7190089.426,POINT Z (687136.2979137936 7190089.426354983 931.6587986243371),687136.2979137936,7190089.426354983
651,Fazenda Canguiri,PFCG,687142.277,7190088.057,POINT Z (687142.2766901583 7190088.057158356 930.7183852091744),687142.2766901583,7190088.057158356
652,Fazenda Canguiri,PFCG,687144.411,7190082.437,POINT Z (687144.4106056845 7190082.436702562 931.1885919167557),687144.4106056845,7190082.436702562
653,Fazenda Canguiri,PFCG,687146.019,7190074.74,POINT Z (687146.0186868786 7190074.740222114 930.7183852091744),687146.0186868786,7190074.740222114
654,Fazenda Canguiri,PFCG,687144.374,7190067.823,POINT Z (687144.3736985867 7190067.822588381 930.7183852091744),687144.3736985867,7190067.822588381
655,Fazenda Canguiri,PFCG,687133.264,7190034.207,POINT Z (687133.2644232266 7190034.207226502 934.4800388698254),687133.2644232266,7190034.207226502
656,Fazenda Canguiri,PFCG,687124.973,7190034.277,POINT Z (687124.9731661233 7190034.2771940045 936.360865700151),687124.9731661233,7190034.2771940045
657,Fazenda Canguiri,PFCG,687118.251,7190025.017,POINT Z (687118.2510815958 7190025.01729039 934.9502455774068),687118.2510815958,7190025.01729039
658,Fazenda Canguiri,PFCG,687131.189,7190013.34,POINT Z (687131.1892153473 7190013.3397588115 934.4800388698254),687131.1892153473,7190013.3397588115
659,Fazenda Canguiri,PFCG,687127.41,7190019.221,POINT Z (687127.4099919096 7190019.2205408085 935.4204522849882),687127.4099919096,7190019.2205408085
660,Fazenda Canguiri,PFCG,687134.999,7190018.701,POINT Z (687134.9992989736 7190018.700972051 934.9502455774068),687134.9992989736,7190018.700972051
661,Fazenda Canguiri,PFCG,687137.173,7190006.727,POINT Z (687137.1733843875 7190006.7266186215 933.5396254546627),687137.1733843875,7190006.7266186215
662,Fazenda Canguiri,PFCG,687148.889,7190011.857,POINT Z (687148.8885767016 7190011.856965355 929.3077650864302),687148.8885767016,7190011.856965355
663,Fazenda Canguiri,PFCG,687149.016,7190004.721,POINT Z (687149.0159232866 7190004.720661958 929.7779717940116),687149.0159232866,7190004.720661958
664,Fazenda Canguiri,PFCG,687151.351,7189996.694,POINT Z (687151.3505506379 7189996.694172314 929.7779717940116),687151.3505506379,7189996.694172314
665,Fazenda Canguiri,PFCG,687151.218,7189987.808,POINT Z (687151.2180652929 7189987.8077333355 929.7779717940116),687151.2180652929,7189987.8077333355
666,Fazenda Canguiri,PFCG,687153.484,7189984.642,POINT Z (687153.4837318363 7189984.642370151 930.248178501593),687153.4837318363,7189984.642370151
667,Fazenda Canguiri,PFCG,687127.278,7189984.988,POINT Z (687127.278492452 7189984.98796127 931.6587986243371),687127.278492452,7189984.98796127
668,Fazenda Canguiri,PFCG,687131.885,7189985.335,POINT Z (687131.8845312155 7189985.335305453 931.6587986243371),687131.8845312155,7189985.335305453
669,Fazenda Canguiri,PFCG,687137.477,7189984.509,POINT Z (687137.4773957168 7189984.5092264125 933.5396254546627),687137.4773957168,7189984.5092264125
670,Fazenda Canguiri,PFCG,687102.041,7189983.313,POINT Z (687102.0405425838 7189983.313293143 939.1821059456393),687102.0405425838,7189983.313293143
671,Fazenda Canguiri,PFCG,687068.593,7190025.647,POINT Z (687068.5929798647 7190025.646852389 940.122519360802),687068.5929798647,7190025.646852389
672,Fazenda Canguiri,PFCG,686621.317,7190310.681,POINT Z (686621.3170247634 7190310.68097639 951.6325677500286),686621.3170247634,7190310.68097639
673,Fazenda Canguiri,PFCG,687279.053,7190560.94,POINT Z (687279.052815564 7190560.940409563 953.3958429034587),687279.052815564,7190560.940409563
674,Fazenda Canguiri,PFCG,687072.555,7190492.485,POINT Z (687072.5548031186 7190492.484610661 945.990087259052),687072.5548031186,7190492.484610661
675,Fazenda Canguiri,PFCG,687085.33,7190460.278,POINT Z (687085.3303309464 7190460.2784054475 945.990087259052),687085.3303309464,7190460.2784054475
676,Fazenda Canguiri,PFCG,687067.658,7190411.865,POINT Z (687067.6576671184 7190411.865280228 938.7018832915405),687067.6576671184,7190411.865280228
677,Fazenda Canguiri,PFCG,687249.808,7190306.254,POINT Z (687249.8082219189 7190306.253687885 931.5589461846546),687249.8082219189,7190306.253687885
678,Fazenda Canguiri,PFCG,687246.337,7190303.586,POINT Z (687246.3370232184 7190303.585573526 931.5589461846546),687246.3370232184,7190303.585573526
679,Fazenda Canguiri,PFCG,687243.978,7190299.315,POINT Z (687243.9783939985 7190299.315369008 931.5589461846546),687243.9783939985,7190299.315369008
