id,local,cod_local,tipo_trech,E,N,geometry,x,y
2,Fazenda Canguiri,PFCG,Curso dagua,687352.774,7190855.737,POINT Z (687352.7743307945 7190855.73687965 0),687352.7743307945,7190855.73687965
2,Fazenda Canguiri,PFCG,Curso dagua,687369.388,7190844.868,POINT Z (687369.3875579953 7190844.868372263 0),687369.3875579953,7190844.868372263
2,Fazenda Canguiri,PFCG,Curso dagua,687387.978,7190837.548,POINT Z (687387.97845349 7190837.548336663 0),687387.97845349,7190837.548336663
2,Fazenda Canguiri,PFCG,Curso dagua,687406.799,7190830.949,POINT Z (687406.7986894941 7190830.948791066 0),687406.7986894941,7190830.948791066
2,Fazenda Canguiri,PFCG,Curso dagua,687423.375,7190820.987,POINT Z (687423.3745836817 7190820.986685131 0),687423.3745836817,7190820.986685131
2,Fazenda Canguiri,PFCG,Curso dagua,687430.039,7190802.191,POINT Z (687430.0388301266 7190802.190728825 0),687430.0388301266,7190802.190728825
2,Fazenda Canguiri,PFCG,Curso dagua,687439.832,7190785.054,POINT Z (687439.8321166374 7190785.053872882 0),687439.8321166374,7190785.053872882
2,Fazenda Canguiri,PFCG,Curso dagua,687454.733,7190771.847,POINT Z (687454.7333911551 7190771.846643354 0),687454.7333911551,7190771.846643354
2,Fazenda Canguiri,PFCG,Curso dagua,687472.215,7190762.237,POINT Z (687472.215034864 7190762.236572084 0),687472.215034864,7190762.236572084
2,Fazenda Canguiri,PFCG,Curso dagua,687491.512,7190758.719,POINT Z (687491.5120339935 7190758.718564045 0),687491.5120339935,7190758.718564045
2,Fazenda Canguiri,PFCG,Curso dagua,687511.184,7190760.832,POINT Z (687511.1838991493 7190760.831894161 0),687511.1838991493,7190760.831894161
2,Fazenda Canguiri,PFCG,Curso dagua,687530.913,7190761.71,POINT Z (687530.9128096547 7190761.71000474 0),687530.9128096547,7190761.71000474
2,Fazenda Canguiri,PFCG,Curso dagua,687549.313,7190754.233,POINT Z (687549.3126653823 7190754.233499685 0),687549.3126653823,7190754.233499685
2,Fazenda Canguiri,PFCG,Curso dagua,687569.104,7190751.967,POINT Z (687569.1039003404 7190751.967292089 0),687569.1039003404,7190751.967292089
5,Fazenda Canguiri,PFCG,Curso dagua,687704.637,7190800.366,POINT Z (687704.6372408663 7190800.365547136 0),687704.6372408663,7190800.365547136
5,Fazenda Canguiri,PFCG,Curso dagua,687713.058,7190817.758,POINT Z (687713.0583412043 7190817.758209815 0),687713.0583412043,7190817.758209815
5,Fazenda Canguiri,PFCG,Curso dagua,687728.474,7190830.223,POINT Z (687728.4736183726 7190830.223262405 0),687728.4736183726,7190830.223262405
5,Fazenda Canguiri,PFCG,Curso dagua,687747.333,7190834.747,POINT Z (687747.3334746144 7190834.747211218 0),687747.3334746144,7190834.747211218
5,Fazenda Canguiri,PFCG,Curso dagua,687763.948,7190844.777,POINT Z (687763.9475555256 7190844.776767085 0),687763.9475555256,7190844.776767085
5,Fazenda Canguiri,PFCG,Curso dagua,687778.696,7190856.907,POINT Z (687778.6955437883 7190856.907380069 0),687778.6955437883,7190856.907380069
5,Fazenda Canguiri,PFCG,Curso dagua,687793.972,7190869.412,POINT Z (687793.9723402399 7190869.412454585 0),687793.9723402399,7190869.412454585
5,Fazenda Canguiri,PFCG,Curso dagua,687813.368,7190867.707,POINT Z (687813.3681395949 7190867.707246943 0),687813.3681395949,7190867.707246943
5,Fazenda Canguiri,PFCG,Curso dagua,687831.693,7190875.016,POINT Z (687831.6929235451 7190875.015924664 0),687831.6929235451,7190875.015924664
6,Fazenda Canguiri,PFCG,Curso dagua,687356.918,7190059.255,POINT Z (687356.9179850774 7190059.25479964 0),687356.9179850774,7190059.25479964
6,Fazenda Canguiri,PFCG,Curso dagua,687374.381,7190063.997,POINT Z (687374.3813161626 7190063.997081981 0),687374.3813161626,7190063.997081981
6,Fazenda Canguiri,PFCG,Curso dagua,687393.314,7190065.286,POINT Z (687393.313786677 7190065.286358322 0),687393.313786677,7190065.286358322
6,Fazenda Canguiri,PFCG,Curso dagua,687412.36,7190060.699,POINT Z (687412.3603180944 7190060.698951092 0),687412.3603180944,7190060.698951092
6,Fazenda Canguiri,PFCG,Curso dagua,687429.811,7190051.324,POINT Z (687429.8107529243 7190051.32384984 0),687429.8107529243,7190051.32384984
6,Fazenda Canguiri,PFCG,Curso dagua,687449.492,7190048.447,POINT Z (687449.4920826353 7190048.446988267 0),687449.4920826353,7190048.446988267
6,Fazenda Canguiri,PFCG,Curso dagua,687468.883,7190045.021,POINT Z (687468.8833729415 7190045.021102105 0),687468.8833729415,7190045.021102105
6,Fazenda Canguiri,PFCG,Curso dagua,687488.535,7190045.274,POINT Z (687488.5353059379 7190045.274126172 0),687488.5353059379,7190045.274126172
6,Fazenda Canguiri,PFCG,Curso dagua,687508.078,7190041.461,POINT Z (687508.0777180585 7190041.461340829 0),687508.0777180585,7190041.461340829
6,Fazenda Canguiri,PFCG,Curso dagua,687527.662,7190037.578,POINT Z (687527.662408092 7190037.577781295 0),687527.662408092,7190037.577781295
6,Fazenda Canguiri,PFCG,Curso dagua,687547.314,7190035.324,POINT Z (687547.3142985794 7190035.324332313 0),687547.3142985794,7190035.324332313
6,Fazenda Canguiri,PFCG,Curso dagua,687563.291,7190046.568,POINT Z (687563.2913909077 7190046.5683555 0),687563.2913909077,7190046.5683555
6,Fazenda Canguiri,PFCG,Curso dagua,687581.17,7190051.237,POINT Z (687581.1701946368 7190051.236928042 0),687581.1701946368,7190051.236928042
6,Fazenda Canguiri,PFCG,Curso dagua,687600.541,7190050.687,POINT Z (687600.540709684 7190050.687022055 0),687600.540709684,7190050.687022055
6,Fazenda Canguiri,PFCG,Curso dagua,687620.211,7190047.699,POINT Z (687620.2113107236 7190047.698764459 0),687620.2113107236,7190047.698764459
