gid,LAYER,local,cod_local,tipo_poste,tipo_lampa,potencia,qnt_lampad,vida_util,data_troca,data_insta,nome_poste,E,N,geometry,x,y
109,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687790.554,687790.554,POINT Z (687790.5538785323 7190312.065981791 0),687790.5538785323,7190312.065981791
111,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687744.507,687744.507,POINT Z (687744.5071121559 7190425.986434782 0),687744.5071121559,7190425.986434782
112,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687723.547,687723.547,POINT Z (687723.5470871386 7190407.472710687 0),687723.5470871386,7190407.472710687
113,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687706.157,687706.157,POINT Z (687706.1570891256 7190392.083964015 0),687706.1570891256,7190392.083964015
114,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687673.967,687673.967,POINT Z (687673.9668553908 7190363.508187831 0),687673.9668553908,7190363.508187831
115,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687638.411,687638.411,POINT Z (687638.4114219238 7190332.222710395 0),687638.4114219238,7190332.222710395
116,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687618.565,687618.565,POINT Z (687618.5654387398 7190314.659522104 0),687618.5654387398,7190314.659522104
117,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687598.548,687598.548,POINT Z (687598.5475886244 7190297.005903571 0),687598.5475886244,7190297.005903571
118,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687580.02,687580.02,POINT Z (687580.0196292195 7190280.269214526 0),687580.0196292195,7190280.269214526
119,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687691.261,687691.261,POINT Z (687691.2605054904 7190409.070125653 0),687691.2605054904,7190409.070125653
120,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687568.192,687568.192,POINT Z (687568.1921525835 7190371.6786677 0),687568.1921525835,7190371.6786677
121,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687537.914,687537.914,POINT Z (687537.9141213016 7190342.655681481 0),687537.9141213016,7190342.655681481
122,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687545.974,687545.974,POINT Z (687545.9740193643 7190272.2645192 0),687545.9740193643,7190272.2645192
123,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687579.255,687579.255,POINT Z (687579.2549564929 7190234.876982189 0),687579.2549564929,7190234.876982189
124,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687612.924,687612.924,POINT Z (687612.9243585283 7190197.127008066 0),687612.9243585283,7190197.127008066
125,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687644.668,687644.668,POINT Z (687644.6677123293 7190161.395396763 0),687644.6677123293,7190161.395396763
126,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687677.249,687677.249,POINT Z (687677.2485252825 7190124.464391756 0),687677.2485252825,7190124.464391756
127,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687751.639,687751.639,POINT Z (687751.638773143 7190462.952756465 0),687751.638773143,7190462.952756465
128,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687780.072,687780.072,POINT Z (687780.0716125475 7190485.4714648 0),687780.0716125475,7190485.4714648
